SampleID,Material,Segment,Reference,Method,Lat,Lon,Ba,Be,Ce,Co,Cr,Cs,Cu,Dy,Er,Eu,Ga,Gd,Hf,Ho,La,Li,Lu,Nb,Nd,Ni,Pb,Pr,Rb,Sm,Sn,Sr,Tb,Th,U,V,W,Y,Yb,Zn,Zr,Mean Depth,Sp Rate,Seg Length,Min-Max Depth
KLM0417-R060, GL, BLAU10,"Gale et al., this study", ICP-MS,-22,-176.567,66,0.51,11.37,33.7,6,0.122,53,5.87,3.75,1.26,17.1,5.03,2.34,1.29,3.9,7.7,0.58,1.18,10.53,13,1.11,1.95,5.55,3.51,0.85,154,0.88,0.307,0.131,337,0.1,36.7,3.75,95.7,83.1,-2063.88,54.5,78.6927,630.948
KLM0417-R061, GL, BLAU10,"Gale et al., this study", ICP-MS,-22.076,-176.591,62,0.4,8.38,38.4,10,0.12,82,4.59,2.91,1,16.1,3.89,1.77,1.01,2.83,6.7,0.45,0.82,7.9,24,1.15,1.44,4.51,2.7,0.7,141,0.69,0.213,0.091,329,0.09,28.7,2.92,90.9,62,-2063.88,54.5,78.6927,630.948
KLM0417-R066, GL, BLAU10,"Gale et al., this study", ICP-MS,-21.808,-176.481,67.5,0.61,11.71,34.5,6,0.126,59,6,3.79,1.29,16.7,5.07,2.47,1.32,4.07,7.9,0.59,1.24,10.77,11,1.06,2,6.22,3.6,0.85,158,0.89,0.311,0.126,409,0.06,37.5,3.84,103.2,85.7,-2063.88,54.5,78.6927,630.948
KLM0417-R067, GL, BLAU10,"Gale et al., this study", ICP-MS,-21.867,-176.506,56.5,0.44,8.48,35,44,0.113,73,4.82,3.07,1.02,15.2,3.99,1.83,1.06,2.85,7,0.48,0.88,7.98,29,0.89,1.46,4.55,2.74,0.63,137,0.71,0.213,0.092,342,0.05,29.9,3.1,88.7,63.6,-2063.88,54.5,78.6927,630.948
KLM0417-R068, GL, BLAU10,"Gale et al., this study", ICP-MS,-21.914,-176.527,173,0.85,22.19,6.4,18,0.339,17,9.27,5.9,1.75,19,7.93,4.27,2.1,8.1,13.7,0.98,2.03,17.94,8,2.31,3.61,14.71,5.75,1.4,147,1.45,0.764,0.33,4,0.17,60,6.1,102,153.1,-2063.88,54.5,78.6927,630.948
KLM0417-R069, GL, BLAU10,"Gale et al., this study", ICP-MS,-21.942,-176.54,88.9,0.53,11.52,28.3,5,0.166,74,5.7,3.64,1.17,17.3,4.86,2.31,1.28,4.05,8.4,0.59,1.07,10.18,15,1.24,1.94,6.65,3.38,0.77,145,0.87,0.344,0.149,267,0.08,36.3,3.7,93.5,81.5,-2063.88,54.5,78.6927,630.948
KLM0417-R070, GL, BLAU10,"Gale et al., this study", ICP-MS,-21.742,-176.459,70.8,0.45,10.08,37.7,3,0.134,83,5.44,3.48,1.14,17.8,4.55,2.14,1.22,3.44,7.9,0.56,1.01,9.2,15,1.25,1.73,5.35,3.16,0.74,144,0.82,0.262,0.113,418,0.1,34.4,3.52,104.2,74.5,-2063.88,54.5,78.6927,630.948
KLM0417-R071, GL, BLAU10,"Gale et al., this study", ICP-MS,-21.694,-176.441,100.6,0.68,13.94,25.4,6,0.192,43,6.79,4.35,1.43,18.2,5.9,2.88,1.5,4.88,9.6,0.69,1.37,12.5,8,1.31,2.35,7.96,4.13,0.95,148,1.04,0.407,0.169,217,0.1,43.1,4.44,105.9,100.6,-2063.88,54.5,78.6927,630.948
KLM0417-R072, GL, BLAU10,"Gale et al., this study", ICP-MS,-21.6,-176.412,104.2,0.73,14.02,23.8,21,0.19,42,6.69,4.29,1.44,17.9,5.84,2.75,1.47,4.98,9.1,0.67,1.33,12.54,12,1.31,2.36,7.99,4.08,0.91,155,1.02,0.424,0.178,174,0.1,42.1,4.34,103,96.3,-2063.88,54.5,78.6927,630.948
SHK0839-1, GL, BLAU10,"Gale et al., this study", ICP-MS,-22.172,-176.601,81.6,0.59,10.87,34.5,8,0.146,76,5.24,3.31,1.17,18.8,4.5,2.03,1.15,3.92,6.9,0.53,0.96,9.55,13,1.14,1.8,6.32,3.21,0.72,168,0.79,0.333,0.14,396,0.07,33,3.37,97,71.5,-2063.88,54.5,78.6927,630.948
SHK0843-1, GL, BLAU10,"Gale et al., this study", ICP-MS,-22.125,-176.609,47.3,0.35,4.6,38.8,74,0.091,101,2.97,1.88,0.65,14.9,2.42,0.99,0.65,1.6,4.7,0.3,0.38,4.54,48,0.73,0.81,2.83,1.58,0.38,132,0.44,0.13,0.057,331,0.04,18.2,1.91,67.3,32.1,-2063.88,54.5,78.6927,630.948
SHK0845-1, GL, BLAU10,"Gale et al., this study", ICP-MS,-22.107,-176.606,54.6,0.34,6.42,39,39,0.105,100,3.63,2.29,0.8,16.1,2.98,1.33,0.79,2.19,5.4,0.36,0.53,6.05,36,0.93,1.1,3.77,2.06,0.5,147,0.54,0.17,0.073,333,0.03,22.4,2.31,77.6,45.3,-2063.88,54.5,78.6927,630.948
KLM0417-012-001, GL, BLAU9,"Gale et al., this study", ICP-MS,-20.797,-176.201,40.4,0.3,5.79,38.5,22,0.1,83,4.08,2.61,0.83,16.3,3.29,1.47,0.9,1.81,6.5,0.42,0.82,6.05,35,0.71,1.05,3.01,2.18,0.53,115,0.6,0.112,0.053,367,0.05,25.5,2.65,85.2,51.4,-2211.46,68,104.489,582.205
KLM0417-012-002, GL, BLAU9,"Gale et al., this study", ICP-MS,-20.797,-176.201,53.3,0.44,9.09,38.4,3,0.114,42,6.03,3.86,1.18,19,4.88,2.3,1.34,2.97,9.1,0.63,1.89,9.14,6,0.84,1.62,3.69,3.22,0.81,108,0.88,0.208,0.078,470,0.05,38.2,3.94,114.1,81.1,-2211.46,68,104.489,582.205
KLM0417-013-001, GL, BLAU9,"Gale et al., this study", ICP-MS,-21.103,-176.287,54.4,0.41,8.43,39.2,8,0.128,,5.59,3.61,1.15,16.3,4.59,2.23,1.26,2.54,8.5,0.58,1.11,8.69,18,0.92,1.54,2.81,3.03,0.79,119,0.82,0.139,0.062,391,0.06,35.7,3.66,,80.8,-2211.46,68,104.489,582.205
KLM0417-014-001, GL, BLAU9,"Gale et al., this study", ICP-MS,-21.096,-176.286,55,0.5,8.96,37.3,5,0.131,54,5.86,3.78,1.16,15.8,4.82,2.33,1.31,2.66,8.6,0.6,1.14,9.14,15,0.93,1.63,2.91,3.22,0.81,114,0.86,0.142,0.063,371,0.07,37.2,3.82,105.4,85.7,-2211.46,68,104.489,582.205
KLM0417-036-003, GL, BLAU9,"Gale et al., this study", ICP-MS,-21.404,-176.382,54.4,0.46,9.03,35.1,40,0.11,65,5.15,3.25,1.06,16.1,4.01,2.03,1.15,3.03,7.3,0.51,1.06,8.56,31,0.93,1.57,4.75,2.94,0.74,128,0.76,0.211,0.08,326,0.04,32.3,3.23,95.6,71.5,-2211.46,68,104.489,582.205
KLM0417-042-001, GL, BLAU9,"Gale et al., this study", ICP-MS,-20.658,-176.177,40.4,0.33,5.91,36.1,83,0.09,,3.93,2.51,0.83,14.1,3.2,1.43,0.87,1.86,5.9,0.4,0.85,5.99,54,0.69,1.07,2.71,2.11,0.48,118,0.58,0.122,0.053,326,0.04,24.7,2.53,,49.8,-2211.46,68,104.489,582.205
KLM0417-050-001, GL, BLAU9,"Gale et al., this study", ICP-MS,-20.769,-176.193,71.6,0.46,8.71,38.3,3,0.167,83,5.53,3.55,1.12,18.3,4.57,2.28,1.23,2.65,8.4,0.57,1.21,8.76,16,1.03,1.58,3.77,3.04,0.78,127,0.81,0.15,0.076,400,0.06,35,3.65,103.9,82.5,-2211.46,68,104.489,582.205
KLM0417-051-001, GL, BLAU9,"Gale et al., this study", ICP-MS,-20.758,-176.193,72.1,0.47,9.07,38,7,0.175,,5.66,3.64,1.19,16.8,4.69,2.31,1.27,2.76,9.2,0.59,1.27,9.08,16,1.07,1.63,3.78,3.1,0.83,128,0.84,0.159,0.074,396,0.07,36.1,3.7,,84.9,-2211.46,68,104.489,582.205
KLM0417-CT11-6, GL, BLAU9,"Gale et al., this study", ICP-MS,-20.757,-176.188,72.2,0.49,8.93,39.4,5,0.173,94,5.56,3.58,1.13,17.4,4.62,2.26,1.24,2.67,8.7,0.58,1.24,8.88,18,1.21,1.59,3.69,3.05,0.81,127,0.82,0.148,0.075,401,0.06,35,3.67,106.7,83.5,-2211.46,68,104.489,582.205
KLM0417-R032, GL, BLAU9,"Gale et al., this study", ICP-MS,-20.582,-176.16,21.8,0.51,8.12,36.6,157,0.057,110,3.99,2.49,0.94,13.9,3.45,1.57,0.87,2.63,6.3,0.39,1.07,7.77,61,0.96,1.43,4.17,2.56,0.59,280,0.61,0.146,0.061,287,0.06,24.7,2.49,74.8,58.4,-2211.46,68,104.489,582.205
KLM0417-R033, GL, BLAU9,"Gale et al., this study", ICP-MS,-20.734,-176.184,54.2,0.46,8.65,42.4,5,0.12,62,5.79,3.71,1.16,16.2,4.74,2.29,1.28,2.56,8.8,0.59,1.17,8.88,16,1.01,1.58,2.75,3.12,0.9,110,0.83,0.135,0.06,493,0.15,36.3,3.77,112.5,83.5,-2211.46,68,104.489,582.205
KLM0417-R034, GL, BLAU9,"Gale et al., this study", ICP-MS,-20.752,-176.186,61.9,0.53,9.85,37.7,4,0.136,57,6.24,4.05,1.24,18.9,5.16,2.62,1.4,3,9.2,0.63,1.39,10,17,1.12,1.8,3.29,3.46,0.95,119,0.92,0.165,0.076,360,0.1,39.5,4.08,110.4,95.6,-2211.46,68,104.489,582.205
KLM0417-R035, GL, BLAU9,"Gale et al., this study", ICP-MS,-20.753,-176.187,62.9,0.55,10.37,37.1,3,0.143,57,6.5,4.14,1.28,17,5.3,2.72,1.43,3.14,9.8,0.66,1.5,10.28,15,1.19,1.88,3.43,3.61,0.94,121,0.95,0.174,0.075,353,0.1,40.9,4.2,111.6,100,-2211.46,68,104.489,582.205
KLM0417-R036, GL, BLAU9,"Gale et al., this study", ICP-MS,-20.934,-176.236,42.5,0.34,7.33,38.2,26,0.086,,4.64,3,0.98,15.2,3.75,1.67,1.04,2.32,7.3,0.48,0.94,7.27,24,0.81,1.3,2.93,2.46,0.59,153,0.68,0.126,0.054,390,0.05,29.5,3.04,,58.7,-2211.46,68,104.489,582.205
KLM0417-R037, GL, BLAU9,"Gale et al., this study", ICP-MS,-20.883,-176.218,48.5,0.31,6.15,37.6,41,0.105,91,3.95,2.56,0.82,16.5,3.21,1.41,0.88,1.95,6.5,0.41,0.74,6.22,36,1.08,1.1,2.99,2.15,0.52,139,0.58,0.112,0.055,333,0.05,25.2,2.63,85.3,49.7,-2211.46,68,104.489,582.205
KLM0417-R038, GL, BLAU9,"Gale et al., this study", ICP-MS,-20.833,-176.208,70.6,0.47,8.27,38,8,0.151,,5.19,3.32,1.09,16.4,4.24,2.07,1.16,2.52,8.2,0.53,1.14,8.33,21,1.04,1.49,3.74,2.83,0.72,128,0.76,0.149,0.07,414,0.06,32.9,3.36,,76.1,-2211.46,68,104.489,582.205
KLM0417-R039, GL, BLAU9,"Gale et al., this study", ICP-MS,-21.108,-176.29,61,0.64,12.65,34.8,4,0.138,37,7.25,4.63,1.45,17.1,6.08,3.03,1.6,3.96,10.1,0.73,1.62,12.19,6,1.26,2.23,5.34,4.11,1.09,145,1.07,0.245,0.099,350,0.12,45.7,4.68,118.7,112.7,-2211.46,68,104.489,582.205
KLM0417-R040, GL, BLAU9,"Gale et al., this study", ICP-MS,-21.099,-176.285,58.3,0.52,9.18,38.7,3,0.131,52,5.97,3.89,1.21,17.4,4.99,2.39,1.33,2.76,8.9,0.61,1.18,9.4,14,0.91,1.67,3.04,3.32,0.8,119,0.89,0.149,0.066,414,0.07,38.1,3.99,111.1,87,-2211.46,68,104.489,582.205
KLM0417-R041, GL, BLAU9,"Gale et al., this study", ICP-MS,-21.096,-176.286,61.6,0.64,12.98,31.2,3,0.138,36,7.96,5.26,1.55,18.5,6.8,3.43,1.78,3.92,11.1,0.81,1.72,13.1,6,1.08,2.35,3.92,4.55,1.13,118,1.2,0.214,0.089,290,0.08,51.2,5.3,119.8,126.9,-2211.46,68,104.489,582.205
KLM0417-R042, GL, BLAU9,"Gale et al., this study", ICP-MS,-21.104,-176.29,73.8,0.72,14.27,29.1,1,0.16,27,7.72,4.98,1.57,19.8,6.51,3.32,1.72,4.65,10.1,0.77,1.83,13.41,2,1.33,2.5,7.17,4.52,1.14,153,1.12,0.299,0.121,269,0.09,48.5,4.75,121.4,121.7,-2211.46,68,104.489,582.205
KLM0417-R043, GL, BLAU9,"Gale et al., this study", ICP-MS,-21.067,-176.273,51.7,0.43,8.85,39.2,5,0.1,52,5.31,3.35,1.09,16.9,4.36,2.04,1.18,2.93,7.5,0.53,1.71,8.38,15,0.86,1.54,3.93,2.94,0.7,120,0.79,0.21,0.079,374,0.05,33.4,3.4,98.8,72.8,-2211.46,68,104.489,582.205
KLM0417-R044, GL, BLAU9,"Gale et al., this study", ICP-MS,-20.995,-176.253,57.7,0.51,8.99,39.3,3,0.138,56,5.96,3.86,1.19,16.3,4.9,2.35,1.33,2.67,8.7,0.61,1.16,9.16,10,0.97,1.63,2.96,3.24,0.84,115,0.87,0.14,0.064,474,0.07,37.7,3.89,113.4,86.5,-2211.46,68,104.489,582.205
KLM0417-R045, GL, BLAU9,"Gale et al., this study", ICP-MS,-21.032,-176.263,56.1,0.48,8.52,38.4,4,0.126,54,5.65,3.68,1.14,17,4.7,2.23,1.26,2.57,8.4,0.58,1.09,8.73,13,0.86,1.56,2.83,3.09,0.77,116,0.84,0.14,0.062,439,0.08,35.9,3.75,108.4,80.6,-2211.46,68,104.489,582.205
KLM0417-R046, GL, BLAU9,"Gale et al., this study", ICP-MS,-21.25,-176.339,94.6,0.62,12.95,33.6,16,0.151,,6.55,4.14,1.43,17.6,5.62,2.77,1.46,4.41,9.1,0.66,1.59,11.84,16,1.21,2.2,7.22,3.85,0.97,144,0.98,0.343,0.138,347,0.08,41.4,4.13,,99.8,-2211.46,68,104.489,582.205
KLM0417-R047, GL, BLAU9,"Gale et al., this study", ICP-MS,-21.196,-176.326,75.7,0.66,14.45,25.5,8,0.149,35,7.84,4.87,1.55,19.4,6.58,3.31,1.73,4.91,9.8,0.78,1.87,13.68,6,1.47,2.5,7.1,4.59,1.1,140,1.17,0.352,0.147,200,0.06,49.4,4.95,115.6,118.9,-2211.46,68,104.489,582.205
KLM0417-R048, GL, BLAU9,"Gale et al., this study", ICP-MS,-21.156,-176.312,142,0.54,10.24,39.5,3,0.151,41,5.87,3.72,1.2,18.6,4.9,2.37,1.3,3.36,8.4,0.59,1.5,9.61,14,1.59,1.79,6.03,3.36,0.86,135,0.89,0.241,0.112,377,0.1,37,3.74,105.2,86.9,-2211.46,68,104.489,582.205
KLM0417-R049, GL, BLAU9,"Gale et al., this study", ICP-MS,-21.15,-176.309,44.9,0.53,10.49,41.1,2,0.083,36,6.53,4.22,1.32,17.7,5.49,2.68,1.44,3.26,9,0.66,1.71,10.5,7,0.92,1.89,3.17,3.66,0.94,117,0.96,0.187,0.069,464,0.07,41.2,4.21,118.5,97.6,-2211.46,68,104.489,582.205
KLM0417-R050, GL, BLAU9,"Gale et al., this study", ICP-MS,-21.143,-176.306,62.4,0.48,10.17,37,7,0.121,60,5.77,3.64,1.19,16.2,4.78,2.31,1.28,3.49,8.1,0.57,1.83,9.59,12,0.97,1.75,5.1,3.31,0.8,131,0.86,0.26,0.101,440,0.05,36.2,3.76,106.4,80.4,-2211.46,68,104.489,582.205
KLM0417-R073, GL, BLAU9,"Gale et al., this study", ICP-MS,-21.458,-176.375,47,0.26,4.44,37.2,288,0.095,101,2.45,1.58,0.56,12.2,2.02,0.81,0.54,1.62,4.1,0.25,0.4,4.05,74,0.62,0.74,3.59,1.4,0.31,119,0.37,0.143,0.057,268,0.04,16,1.58,58.1,27.2,-2211.46,68,104.489,582.205
KLM0417-R074, GL, BLAU9,"Gale et al., this study", ICP-MS,-21.285,-176.353,76.2,0.62,13.72,30.9,11,0.141,,6.67,4.2,1.46,17,5.73,2.84,1.5,4.67,9.6,0.66,1.83,12.42,14,1.17,2.32,7.64,3.95,0.99,150,1,0.366,0.142,293,0.07,42.6,4.22,,104.1,-2211.46,68,104.489,582.205
KLM0417-R080, GL, BLAU9,"Gale et al., this study", ICP-MS,-20.592,-176.163,20.4,0.25,5.36,42.5,256,0.048,83,3.35,2.11,0.71,13,2.75,1.18,0.73,1.68,5,0.33,0.67,5.37,120,0.57,0.95,2.16,1.86,0.43,131,0.5,0.097,0.04,265,0.03,20.8,2.14,68.7,41.2,-2211.46,68,104.489,582.205
KLM0417-R081, GL, BLAU9,"Gale et al., this study", ICP-MS,-20.617,-176.165,37.7,0.23,4.77,39,107,0.088,95,3.07,1.95,0.65,13.3,2.48,1.05,0.67,1.56,4.9,0.31,0.63,4.74,59,0.74,0.84,2.7,1.66,0.41,107,0.45,0.107,0.053,273,0.05,19.1,1.98,69,36.5,-2211.46,68,104.489,582.205
KLM0417-R082, GL, BLAU9,"Gale et al., this study", ICP-MS,-20.7,-176.175,42,0.37,7.5,41.1,12,0.096,57,5.39,3.39,1.07,18.1,4.37,2.06,1.19,2.33,7.8,0.54,1.11,7.79,17,0.76,1.42,3.17,2.87,0.69,109,0.79,0.134,0.062,464,0.06,33.4,3.54,104.8,70.3,-2211.46,68,104.489,582.205
KLM0417-R083, GL, BLAU9,"Gale et al., this study", ICP-MS,-20.768,-176.192,69.5,0.42,8.85,37.6,5,0.163,82,5.54,3.55,1.12,17.4,4.54,2.25,1.25,2.72,8.7,0.58,1.22,8.77,19,1.2,1.61,3.67,3.08,0.77,126,0.82,0.154,0.074,377,0.14,35.1,3.63,104.6,83,-2211.46,68,104.489,582.205
KLM0417-R084, GL, BLAU9,"Gale et al., this study", ICP-MS,-20.698,-176.186,50.3,0.42,8.71,36.6,8,0.118,48,5.44,3.5,1.09,16.6,4.56,2.19,1.21,2.8,8.2,0.56,1.5,8.66,22,0.92,1.55,3.59,2.99,0.7,118,0.8,0.186,0.076,360,0.07,34.5,3.54,98.1,77.9,-2211.46,68,104.489,582.205
KLM0417-R085, GL, BLAU9,"Gale et al., this study", ICP-MS,-20.718,-176.193,49.8,0.39,7.89,37.8,7,0.116,64,5.08,3.26,1.04,15.9,4.16,1.97,1.12,2.51,7.8,0.52,1.22,7.86,24,0.92,1.41,3.46,2.8,0.68,122,0.74,0.162,0.07,382,0.07,31.7,3.26,97.7,68.8,-2211.46,68,104.489,582.205
KLM0417-R086, GL, BLAU9,"Gale et al., this study", ICP-MS,-20.758,-176.19,54.7,0.44,8.17,37.7,4,0.118,63,5.52,3.56,1.11,18.2,4.52,2.18,1.23,2.55,8.1,0.57,1.19,8.29,14,0.87,1.49,3.61,2.98,0.72,113,0.81,0.158,0.071,413,0.05,34.7,3.62,104.5,74.7,-2211.46,68,104.489,582.205
